id	HR	HR.95L	HR.95H	pvalue
TFRC	1.33267683795598	1.09195061650449	1.62647241329438	0.00472261004691608
CRHBP	0.775670240489144	0.61561491455386	0.977338767720591	0.0312119074176752
PRKAB2	1.16428276960953	0.944476312807312	1.43524443040871	0.154201176571925
SCAMP3	1.51059713822955	1.18748798110889	1.92162257667352	0.000781056215158775
DDIT3	1.19419038457579	1.00332925235793	1.42135861309915	0.0457848071423058
RFX5	1.1625786252429	0.903712194995618	1.4955967921604	0.241131842668347
PDGFB	1.06085338940475	0.828575717673315	1.35824631329019	0.639409122607411
NCAPG	1.67175068761081	1.36663331066676	2.04498920062448	5.7977351571945e-07
MRPL13	1.29506549474275	1.0082507233104	1.6634698065641	0.042939863549889
C7	0.886774178212083	0.806798326530908	0.974677831230714	0.0127088564433421
LYZ	1.00819053456029	0.936120630167971	1.0858089451512	0.829329786590255
BHMT	0.903392618785969	0.838567432862746	0.973229094875367	0.00749032242408575
EZH2	1.79381842219998	1.42446196102534	2.25894732177182	6.77771896689954e-07
NSUN5	1.54387087520778	1.16723544126379	2.04203641789195	0.0023365149518157
DUSP1	0.92695583098776	0.810301305148162	1.06040445343365	0.269031434376937
FOS	1.01753502311277	0.910289816397053	1.13741525458249	0.759677630736567
CENPA	1.73250647218101	1.42432670738372	2.10736670216803	3.81433540646422e-08
NTF3	0.763427185715191	0.402130509332737	1.44933312534804	0.409186556898936
TARBP1	1.15213140070172	0.919647682753647	1.44338618948979	0.218128831702087
RABIF	1.75129965121814	1.27983152519898	2.39644860121721	0.000462052987118543
NEK2	1.42202467160138	1.19336859296038	1.69449253028076	8.26932033498416e-05
PSKH1	1.20265558022249	0.889250894879562	1.62651559078408	0.230929231016524
UGT2B15	0.900233126283606	0.837102867299463	0.968124364778262	0.00460799831642698
ATXN2L	1.41072893142774	1.07779173992684	1.84651268351932	0.012231029256656
UQCRB	1.01540989512561	0.812704916763446	1.26867357862818	0.892928770772986
SHC1	1.47286933768913	1.1482741962359	1.88922131405203	0.00230013693886768
STK39	1.31404669329975	1.12260054039075	1.53814170762021	0.000675228558424573
SOCS3	1.01420867927328	0.897730477323674	1.14579962594095	0.82067964302817
SLC38A2	1.01766538255283	0.84784309726047	1.22150293396589	0.850885541559505
ARPC5	1.59536232744271	1.16296682383477	2.18852412954561	0.00377958242889883
DRAP1	1.49455199314091	1.09139020144148	2.04664258232417	0.0122387429667213
CXCL12	0.940487141502613	0.82172555728149	1.0764129890982	0.373006003622332
OGT	1.13707186372778	0.877299096177437	1.47376468175441	0.331686953924167
MBL2	0.945056028826562	0.855572418926545	1.04389865529093	0.265511289743058
DTL	1.34481034154028	1.11929404201085	1.61576385367391	0.00155973349050648
E2F1	1.2347979434872	1.0794168713402	1.41254597896651	0.0021142192357875
IGF2BP2	1.16898429123266	1.02141587895751	1.33787255641987	0.0233458576310209
DHODH	0.894774242988319	0.7320479846181	1.09367276836776	0.277636506574727
PRC1	1.34094088579273	1.12406021204516	1.59966738429342	0.00111736122403913
LPGAT1	1.09054810441772	0.896788228752597	1.32617169797528	0.385126144410781
PEG10	1.04133421630872	0.975247369672805	1.11189938448037	0.225997869565668
SLC12A7	1.39432154256515	1.08402355048065	1.7934412616767	0.00964963392197719
GOLPH3L	1.24872108366916	0.957957985922307	1.62773771680456	0.100511847657583
EPHA2	1.070619629412	0.894075077057811	1.28202476536339	0.457978121347761
PCK1	0.919674738309716	0.85484809478908	0.989417452575282	0.0247533207651662
ATP6V1C1	1.45031439703655	1.13099126811652	1.85979495116206	0.00338845876714191
PRG4	1.01375529519272	0.932573778016794	1.10200374786088	0.748367126282174
