id	HR	HR.95L	HR.95H	pvalue
CENPA	1.73250647218101	1.42432670738372	2.10736670216803	3.81433540646422e-08
CCT5	2.01195063355854	1.55332512352895	2.60598717587225	1.18095106216197e-07
NCAPG	1.67175068761081	1.36663331066676	2.04498920062448	5.7977351571945e-07
EZH2	1.79381842219998	1.42446196102534	2.25894732177182	6.77771896689954e-07
STIP1	2.04642759377716	1.53658036512565	2.72544540566878	9.67015781499785e-07
CCT6A	2.11031508435671	1.55757582428851	2.8592057515388	1.43775711615769e-06
CBX3	2.02620092759127	1.51172231576408	2.71577005655081	2.29962930255523e-06
MAFG	1.79828602388582	1.40903731612981	2.29506528087235	2.4143662506196e-06
PBK	1.48563079181633	1.25404912416736	1.75997798416249	4.68982607754415e-06
MCM6	1.53483938565669	1.27068346017266	1.85390934375026	8.75285171081752e-06
UBE2S	1.47633055731797	1.24084251860299	1.75650969546453	1.11337882127116e-05
LMNB2	1.55904494216323	1.27843131801912	1.9012528067999	1.15422807217775e-05
ATP1B3	1.43720630925122	1.21781552801629	1.69612057641941	1.77341918234693e-05
BUB1B	1.58465170888769	1.28324534913459	1.95685185235557	1.89552192136904e-05
TXNRD1	1.38551537179648	1.18984377674484	1.61336545435913	2.69723741528979e-05
KIF11	1.54769908957217	1.25489615317087	1.90882127242952	4.46596122233864e-05
NEK2	1.42202467160138	1.19336859296038	1.69449253028076	8.26932033498416e-05
CDC6	1.41695672108506	1.18575849934114	1.69323378288558	0.000125719205536944
ALDH2	0.703849554856576	0.587362795042213	0.843438161309138	0.000142079990952339
SLC2A2	0.85614835637273	0.788135444598486	0.930030508262634	0.000235477419415788
B4GALT3	1.72344961251135	1.27233708116868	2.33450601324709	0.000438895935440377
RABIF	1.75129965121814	1.27983152519898	2.39644860121721	0.000462052987118543
STK39	1.31404669329975	1.12260054039075	1.53814170762021	0.000675228558424573
SCAMP3	1.51059713822955	1.18748798110889	1.92162257667352	0.000781056215158775
PRC1	1.34094088579273	1.12406021204516	1.59966738429342	0.00111736122403913
DTL	1.34481034154028	1.11929404201085	1.61576385367391	0.00155973349050648
RPN2	1.69757039010597	1.21981405550582	2.36244632233685	0.00169927038767597
NUP210	1.4037408491611	1.13508839755772	1.73597789902819	0.00175375474353203
E2F1	1.2347979434872	1.0794168713402	1.41254597896651	0.0021142192357875
SHC1	1.47286933768913	1.1482741962359	1.88922131405203	0.00230013693886768
NSUN5	1.54387087520778	1.16723544126379	2.04203641789195	0.0023365149518157
NPLOC4	1.61375152733135	1.1757931152655	2.21484031344767	0.00305212466528485
CTNNA1	1.61712365941179	1.17458055112721	2.22640237599691	0.00321564806006694
ENAH	1.34492228151015	1.10337182179307	1.63935303365189	0.00334745557030711
ATP6V1C1	1.45031439703655	1.13099126811652	1.85979495116206	0.00338845876714191
ARPC5	1.59536232744271	1.16296682383477	2.18852412954561	0.00377958242889883
GYS2	0.868399192959441	0.787876943094479	0.957150942088398	0.00448250756648665
UGT2B15	0.900233126283606	0.837102867299463	0.968124364778262	0.00460799831642698
TFRC	1.33267683795598	1.09195061650449	1.62647241329438	0.00472261004691608
CDK5	1.60334751321227	1.15468105076097	2.22634921256375	0.00482216054752085
CPEB3	0.629623006804257	0.455540119802471	0.870230992758946	0.00508287550433897
DENND4B	1.51638115157019	1.12881250836813	2.03701835317318	0.00570017228190975
CYP7A1	0.89390408707303	0.824710574779063	0.968902959804939	0.00636254666687195
IPO9	1.51923492320904	1.12388128191754	2.05366419837512	0.00654055389190899
UBE2Q1	1.50933793437143	1.12013716020606	2.03376968559239	0.00681834493730481
PDK4	0.856574456802139	0.764758319132921	0.959413950380778	0.00744648029020816
BHMT	0.903392618785969	0.838567432862746	0.973229094875367	0.00749032242408575
RAD21	1.38461729809989	1.08985063464757	1.7591080844004	0.00771195798411621
RRAGD	1.30702936361907	1.07043733335632	1.59591384206122	0.00858764048156461
TBC1D16	1.41679608712505	1.08908482734108	1.84311736064999	0.00943755007146379
ROBO1	1.20012285478767	1.04561214518167	1.37746570104488	0.00947953582675425
PSMD10	1.4595723611957	1.09683690414424	1.94226823470031	0.00948586504399502
SLC12A7	1.39432154256515	1.08402355048065	1.7934412616767	0.00964963392197719
STEAP4	0.693602850777524	0.52338565843771	0.919178634054919	0.0108789062846464
ATXN2L	1.41072893142774	1.07779173992684	1.84651268351932	0.012231029256656
DRAP1	1.49455199314091	1.09139020144148	2.04664258232417	0.0122387429667213
C7	0.886774178212083	0.806798326530908	0.974677831230714	0.0127088564433421
SERPINE1	1.12941542587098	1.02401038967439	1.24567017782009	0.0149075574237079
ESR1	0.630555711310263	0.431951237917424	0.920475438345661	0.0168805931159499
CBX4	1.33280546682419	1.04932116356514	1.69287580778521	0.0185457596835861
GDI1	1.42503469916931	1.05613720705448	1.92278416125512	0.0204874870222389
IGF2BP2	1.16898429123266	1.02141587895751	1.33787255641987	0.0233458576310209
PCK1	0.919674738309716	0.85484809478908	0.989417452575282	0.0247533207651662
LAMC1	1.20279985941339	1.02229551659933	1.41517543441588	0.0260304368284093
INPPL1	1.37207457852862	1.0338000341045	1.82103751880336	0.0285158585684584
FGB	0.919597654345932	0.852798187401651	0.991629506689196	0.0293743665405453
SOX9	1.14066314197863	1.01309320833013	1.28429683741851	0.0296351329774192
CRHBP	0.775670240489144	0.61561491455386	0.977338767720591	0.0312119074176752
CTTN	1.33549157273914	1.01824213138979	1.75158509540646	0.0365638045847644
GNE	0.8368475379568	0.706882471676702	0.990707550186153	0.0386043970006676
MRPL13	1.29506549474275	1.0082507233104	1.6634698065641	0.042939863549889
DDIT3	1.19419038457579	1.00332925235793	1.42135861309915	0.0457848071423058
