Abundance	cluster	gene
6.755	Normal	TXNRD1
7.92	Normal	TXNRD1
7.35	Normal	TXNRD1
6.807	Normal	TXNRD1
6.74	Normal	TXNRD1
6.404	Normal	TXNRD1
7.14	Normal	TXNRD1
7.94	Normal	TXNRD1
7.069	Normal	TXNRD1
7.683	Normal	TXNRD1
6.444	Normal	TXNRD1
7.393	Normal	TXNRD1
7.013	Normal	TXNRD1
7.499	Normal	TXNRD1
7.565	Normal	TXNRD1
8.218	Normal	TXNRD1
7.936	Normal	TXNRD1
8.096	Normal	TXNRD1
7.153	Normal	TXNRD1
6.957	Normal	TXNRD1
6.405	Normal	TXNRD1
7.905	Normal	TXNRD1
7.276	Normal	TXNRD1
8.322	Normal	TXNRD1
6.967	Normal	TXNRD1
7.727	Normal	TXNRD1
7.18	Normal	TXNRD1
6.858	Normal	TXNRD1
7.681	Normal	TXNRD1
7.574	Normal	TXNRD1
7.38	Normal	TXNRD1
7.501	Normal	TXNRD1
7.4	Normal	TXNRD1
7.166	Normal	TXNRD1
7.823	Normal	TXNRD1
7.921	Normal	TXNRD1
7.703	Normal	TXNRD1
7.068	Normal	TXNRD1
7.712	Normal	TXNRD1
8.107	Normal	TXNRD1
5.7	Normal	TXNRD1
8.616	Normal	TXNRD1
6.802	Normal	TXNRD1
8.183	Normal	TXNRD1
6.968	Normal	TXNRD1
4.467	Normal	TXNRD1
6.708	Normal	TXNRD1
7.037	Normal	TXNRD1
6.178	Normal	TXNRD1
8.043	Normal	TXNRD1
6.7	Normal	TXNRD1
7.666	Normal	TXNRD1
7.671	Normal	TXNRD1
5.394	Normal	TXNRD1
6.482	Normal	TXNRD1
7.374	Normal	TXNRD1
6.922	Normal	TXNRD1
8.006	Normal	TXNRD1
7.649	Normal	TXNRD1
8.911	Normal	TXNRD1
7.407	Normal	TXNRD1
7.783	Normal	TXNRD1
7.408	Normal	TXNRD1
7.779	Normal	TXNRD1
7.164	Normal	TXNRD1
7.243	Normal	TXNRD1
7.48	Normal	TXNRD1
7.952	Normal	TXNRD1
7.671	Normal	TXNRD1
7.818	Normal	TXNRD1
6.773	Normal	TXNRD1
6.497	Normal	TXNRD1
8.138	Normal	TXNRD1
7.797	Normal	TXNRD1
7.48	Normal	TXNRD1
7.735	Normal	TXNRD1
7.701	Normal	TXNRD1
7.655	Normal	TXNRD1
8.035	Normal	TXNRD1
7.081	Normal	TXNRD1
7.435	Normal	TXNRD1
7.713	Normal	TXNRD1
7.004	Normal	TXNRD1
7.316	Normal	TXNRD1
7.789	Normal	TXNRD1
6.876	Normal	TXNRD1
7.663	Normal	TXNRD1
7.761	Normal	TXNRD1
7.99	Normal	TXNRD1
7.402	Normal	TXNRD1
6.705	Normal	TXNRD1
7.319	Normal	TXNRD1
6.803	Normal	TXNRD1
6.518	Normal	TXNRD1
7.833	Normal	TXNRD1
7.952	Normal	TXNRD1
7.238	Normal	TXNRD1
6.73	Normal	TXNRD1
7.308	Normal	TXNRD1
7.211	Normal	TXNRD1
7.966	Normal	TXNRD1
7.788	Normal	TXNRD1
6.864	Normal	TXNRD1
6.404	Normal	TXNRD1
8.136	Normal	TXNRD1
7.888	Normal	TXNRD1
7.903	Normal	TXNRD1
7.42	Normal	TXNRD1
7.59	Normal	TXNRD1
7.397	Normal	TXNRD1
7.986	Normal	TXNRD1
7.978	Normal	TXNRD1
7.511	Normal	TXNRD1
8.012	Normal	TXNRD1
8.25	Normal	TXNRD1
7.617	Normal	TXNRD1
7.569	Normal	TXNRD1
7.756	Normal	TXNRD1
7.984	Normal	TXNRD1
7.594	Normal	TXNRD1
7.739	Normal	TXNRD1
7.86	Normal	TXNRD1
8.409	Normal	TXNRD1
7.792	Normal	TXNRD1
7.67	Normal	TXNRD1
7.842	Normal	TXNRD1
7.903	Normal	TXNRD1
7.326	Normal	TXNRD1
8.103	Normal	TXNRD1
7.285	Normal	TXNRD1
7.582	Normal	TXNRD1
8.323	Normal	TXNRD1
7.819	Normal	TXNRD1
7.165	Normal	TXNRD1
7.671	Normal	TXNRD1
8.104	Normal	TXNRD1
9.288	Normal	TXNRD1
7.841	Normal	TXNRD1
7.97	Normal	TXNRD1
7.589	Normal	TXNRD1
7.53	Normal	TXNRD1
8.016	Normal	TXNRD1
8.025	Normal	TXNRD1
7.419	Normal	TXNRD1
7.583	Normal	TXNRD1
7.663	Normal	TXNRD1
7.259	Normal	TXNRD1
7.112	Normal	TXNRD1
7.995	Normal	TXNRD1
7.706	Normal	TXNRD1
7.389	Normal	TXNRD1
7.393	Normal	TXNRD1
7.393	Normal	TXNRD1
7.421	Normal	TXNRD1
7.382	Normal	TXNRD1
7.409	Normal	TXNRD1
7.197	Normal	TXNRD1
7.416	Normal	TXNRD1
7.742	Normal	TXNRD1
7.371	Normal	TXNRD1
7.777	Normal	TXNRD1
7.338	Normal	TXNRD1
7.655	Normal	TXNRD1
7.357	Normal	TXNRD1
7.73	Normal	TXNRD1
7.531	Normal	TXNRD1
7.652	Normal	TXNRD1
8.11	Normal	TXNRD1
7.954	Normal	TXNRD1
7.945	Normal	TXNRD1
7.52	Normal	TXNRD1
7.58	Normal	TXNRD1
7.441	Normal	TXNRD1
7.756	Normal	TXNRD1
7.798	Normal	TXNRD1
8.005	Normal	TXNRD1
7.21	Normal	TXNRD1
7.184	Normal	TXNRD1
8.024	Normal	TXNRD1
5.867	Normal	TXNRD1
6.831	Normal	TXNRD1
7.492	Normal	TXNRD1
7.638	Normal	TXNRD1
7.084	Normal	TXNRD1
7.419	Normal	TXNRD1
7.227	Normal	TXNRD1
7.949	Normal	TXNRD1
7.412	Normal	TXNRD1
7.213	Normal	TXNRD1
7.868	Normal	TXNRD1
7.99	Normal	TXNRD1
7.559	Normal	TXNRD1
7.697	Normal	TXNRD1
7.51	Normal	TXNRD1
7.741	Normal	TXNRD1
7.874	Normal	TXNRD1
7.622	Normal	TXNRD1
7.475	Normal	TXNRD1
7.178	Normal	TXNRD1
7.436	Normal	TXNRD1
6.817	Normal	TXNRD1
8.207	Normal	TXNRD1
7.194	Normal	TXNRD1
7.976	Normal	TXNRD1
8.209	Normal	TXNRD1
7.799	Normal	TXNRD1
7.35	Normal	TXNRD1
7.381	Normal	TXNRD1
7.513	Normal	TXNRD1
7.004	Normal	TXNRD1
7.159	Normal	TXNRD1
7.141	Normal	TXNRD1
8.001	Normal	TXNRD1
7.677	Normal	TXNRD1
7.545	Normal	TXNRD1
7.192	Normal	TXNRD1
7.738	Normal	TXNRD1
8.879	Normal	TXNRD1
7.839	Normal	TXNRD1
7.519	Normal	TXNRD1
8.57	Tumor	TXNRD1
8.957	Tumor	TXNRD1
7.689	Tumor	TXNRD1
9.713	Tumor	TXNRD1
9.925	Tumor	TXNRD1
9.343	Tumor	TXNRD1
8.166	Tumor	TXNRD1
7.164	Tumor	TXNRD1
9.896	Tumor	TXNRD1
10.56	Tumor	TXNRD1
8.074	Tumor	TXNRD1
9.001	Tumor	TXNRD1
11.887	Tumor	TXNRD1
9.191	Tumor	TXNRD1
8.352	Tumor	TXNRD1
9.009	Tumor	TXNRD1
9.758	Tumor	TXNRD1
8.958	Tumor	TXNRD1
10.711	Tumor	TXNRD1
8.238	Tumor	TXNRD1
8.454	Tumor	TXNRD1
9.295	Tumor	TXNRD1
7.861	Tumor	TXNRD1
7.12	Tumor	TXNRD1
10.195	Tumor	TXNRD1
9.48	Tumor	TXNRD1
10.749	Tumor	TXNRD1
8.923	Tumor	TXNRD1
8.315	Tumor	TXNRD1
8.297	Tumor	TXNRD1
10.889	Tumor	TXNRD1
9.485	Tumor	TXNRD1
8.186	Tumor	TXNRD1
10.238	Tumor	TXNRD1
8.639	Tumor	TXNRD1
8.167	Tumor	TXNRD1
6.437	Tumor	TXNRD1
9.075	Tumor	TXNRD1
8.831	Tumor	TXNRD1
11.293	Tumor	TXNRD1
10.089	Tumor	TXNRD1
9.932	Tumor	TXNRD1
10.684	Tumor	TXNRD1
8.65	Tumor	TXNRD1
8.004	Tumor	TXNRD1
8.522	Tumor	TXNRD1
11.374	Tumor	TXNRD1
8.844	Tumor	TXNRD1
8.878	Tumor	TXNRD1
6.729	Tumor	TXNRD1
9.351	Tumor	TXNRD1
10.943	Tumor	TXNRD1
9.706	Tumor	TXNRD1
11.923	Tumor	TXNRD1
9.718	Tumor	TXNRD1
8.442	Tumor	TXNRD1
7.607	Tumor	TXNRD1
9.581	Tumor	TXNRD1
9.79	Tumor	TXNRD1
6.71	Tumor	TXNRD1
8.148	Tumor	TXNRD1
11.915	Tumor	TXNRD1
8.361	Tumor	TXNRD1
9.325	Tumor	TXNRD1
9.393	Tumor	TXNRD1
9.19	Tumor	TXNRD1
8.436	Tumor	TXNRD1
9.912	Tumor	TXNRD1
8.689	Tumor	TXNRD1
9.222	Tumor	TXNRD1
7.424	Tumor	TXNRD1
7.973	Tumor	TXNRD1
8.864	Tumor	TXNRD1
9.047	Tumor	TXNRD1
8.226	Tumor	TXNRD1
9.822	Tumor	TXNRD1
9.064	Tumor	TXNRD1
8.703	Tumor	TXNRD1
10.076	Tumor	TXNRD1
8.715	Tumor	TXNRD1
8.768	Tumor	TXNRD1
12.18	Tumor	TXNRD1
8	Tumor	TXNRD1
9.544	Tumor	TXNRD1
8.781	Tumor	TXNRD1
9.678	Tumor	TXNRD1
8.324	Tumor	TXNRD1
8.2	Tumor	TXNRD1
8.611	Tumor	TXNRD1
9.915	Tumor	TXNRD1
9.21	Tumor	TXNRD1
8.527	Tumor	TXNRD1
10.681	Tumor	TXNRD1
9.987	Tumor	TXNRD1
8.552	Tumor	TXNRD1
10.322	Tumor	TXNRD1
9.246	Tumor	TXNRD1
9.801	Tumor	TXNRD1
8.575	Tumor	TXNRD1
8.008	Tumor	TXNRD1
9.135	Tumor	TXNRD1
9.314	Tumor	TXNRD1
9.513	Tumor	TXNRD1
8.501	Tumor	TXNRD1
6.782	Tumor	TXNRD1
8.566	Tumor	TXNRD1
7.834	Tumor	TXNRD1
10.597	Tumor	TXNRD1
10.556	Tumor	TXNRD1
9.122	Tumor	TXNRD1
8.106	Tumor	TXNRD1
9.106	Tumor	TXNRD1
9.777	Tumor	TXNRD1
8.154	Tumor	TXNRD1
8.44	Tumor	TXNRD1
9.336	Tumor	TXNRD1
8.423	Tumor	TXNRD1
9.578	Tumor	TXNRD1
10.618	Tumor	TXNRD1
9.353	Tumor	TXNRD1
11.141	Tumor	TXNRD1
9.566	Tumor	TXNRD1
10.419	Tumor	TXNRD1
9.348	Tumor	TXNRD1
8.821	Tumor	TXNRD1
8.756	Tumor	TXNRD1
8.558	Tumor	TXNRD1
11.504	Tumor	TXNRD1
8.132	Tumor	TXNRD1
7.839	Tumor	TXNRD1
9.025	Tumor	TXNRD1
8.667	Tumor	TXNRD1
8.535	Tumor	TXNRD1
12.168	Tumor	TXNRD1
9.525	Tumor	TXNRD1
10.625	Tumor	TXNRD1
9.673	Tumor	TXNRD1
9.915	Tumor	TXNRD1
8.715	Tumor	TXNRD1
8.284	Tumor	TXNRD1
9.41	Tumor	TXNRD1
11.045	Tumor	TXNRD1
10.213	Tumor	TXNRD1
8.671	Tumor	TXNRD1
8.61	Tumor	TXNRD1
8.058	Tumor	TXNRD1
11.046	Tumor	TXNRD1
11.272	Tumor	TXNRD1
9.226	Tumor	TXNRD1
9.977	Tumor	TXNRD1
11.308	Tumor	TXNRD1
10.359	Tumor	TXNRD1
8.948	Tumor	TXNRD1
8.986	Tumor	TXNRD1
9.512	Tumor	TXNRD1
11.234	Tumor	TXNRD1
8.724	Tumor	TXNRD1
9.432	Tumor	TXNRD1
9.236	Tumor	TXNRD1
10.877	Tumor	TXNRD1
8.359	Tumor	TXNRD1
8.562	Tumor	TXNRD1
7.841	Tumor	TXNRD1
8.699	Tumor	TXNRD1
7.585	Tumor	TXNRD1
7.67	Tumor	TXNRD1
8.794	Tumor	TXNRD1
11.843	Tumor	TXNRD1
11.027	Tumor	TXNRD1
8.548	Tumor	TXNRD1
8.508	Tumor	TXNRD1
8.9	Tumor	TXNRD1
9.885	Tumor	TXNRD1
8.319	Tumor	TXNRD1
10.697	Tumor	TXNRD1
10.163	Tumor	TXNRD1
10.246	Tumor	TXNRD1
7.074	Tumor	TXNRD1
10.765	Tumor	TXNRD1
9.194	Tumor	TXNRD1
7.348	Tumor	TXNRD1
8.099	Tumor	TXNRD1
11.804	Tumor	TXNRD1
8.87	Tumor	TXNRD1
8.955	Tumor	TXNRD1
10.234	Tumor	TXNRD1
8.201	Tumor	TXNRD1
10.915	Tumor	TXNRD1
11.276	Tumor	TXNRD1
7.43	Tumor	TXNRD1
8.583	Tumor	TXNRD1
10.486	Tumor	TXNRD1
8.397	Tumor	TXNRD1
10.59	Tumor	TXNRD1
8.664	Tumor	TXNRD1
9.801	Tumor	TXNRD1
10.203	Tumor	TXNRD1
7.704	Tumor	TXNRD1
8.062	Tumor	TXNRD1
8.848	Tumor	TXNRD1
9.07	Tumor	TXNRD1
9.634	Tumor	TXNRD1
9.325	Tumor	TXNRD1
12.171	Tumor	TXNRD1
11.477	Tumor	TXNRD1
8.783	Tumor	TXNRD1
9.694	Tumor	TXNRD1
7.941	Tumor	TXNRD1
8.66	Tumor	TXNRD1
8.218	Tumor	TXNRD1
7.079	Tumor	TXNRD1
10.464	Tumor	TXNRD1
9.651	Tumor	TXNRD1
9.689	Tumor	TXNRD1
7.084	Tumor	TXNRD1
11.732	Tumor	TXNRD1
8.551	Tumor	TXNRD1
8.862	Tumor	TXNRD1
9.322	Tumor	TXNRD1
7.966	Tumor	TXNRD1
9.454	Tumor	TXNRD1
8.408	Tumor	TXNRD1
9.351	Tumor	TXNRD1
8.035	Tumor	TXNRD1
9.418	Tumor	TXNRD1
3.855	Normal	CENPA
3.872	Normal	CENPA
4.041	Normal	CENPA
3.858	Normal	CENPA
3.961	Normal	CENPA
3.761	Normal	CENPA
3.868	Normal	CENPA
4.295	Normal	CENPA
3.901	Normal	CENPA
3.801	Normal	CENPA
3.689	Normal	CENPA
3.458	Normal	CENPA
3.487	Normal	CENPA
3.801	Normal	CENPA
3.568	Normal	CENPA
3.636	Normal	CENPA
3.783	Normal	CENPA
3.939	Normal	CENPA
3.833	Normal	CENPA
5.527	Normal	CENPA
4.221	Normal	CENPA
3.777	Normal	CENPA
3.801	Normal	CENPA
3.526	Normal	CENPA
3.458	Normal	CENPA
3.436	Normal	CENPA
4.007	Normal	CENPA
3.554	Normal	CENPA
3.515	Normal	CENPA
